t[s],x[m],y[m],v[m/s],ax[m/s^2],ay[m/s^2], az[m/s^2],roll[rad],pitch[rad],yaw[rad],gy_x[rad/sec],gy_y[rad/sec],gy_z[rad/sec],_,_,_,latitude,longitude,
85818,,,,-0.162,0.014,-0.038,0.084075332,-0.074673564,0.947118305,-0.014444444,0.025555556,0.008888889,,,,,,
85819,,,,-0.184,-0.077,0.035,0.083801846,-0.074392397,0.947084416,-0.027777778,0.016666667,0.008888889,,,,,,
85820,,,,-0.188,-0.115,0.075,0.083637429,-0.074445537,0.947088319,-0.024444444,0.005555556,0.001111111,,,,,,
85821,,,,-0.185,-0.172,0.128,0.083637429,-0.074445537,0.947088319,-0.008888889,-0.002222222,0,,,,,,
85822,,,,-0.156,-0.089,0.18,0.083637429,-0.074445537,0.947088319,0.008888889,-0.005555556,0,,,,,,
85823,,,,-0.126,-0.087,0.188,0.083697109,-0.074607031,0.9469706,0.016666667,-0.013333333,-0.005555556,,,,,,
85824,0.000419875,0.000919709,9.928999901,,,,,,,,,,,,,,,
85824,,,,,,,,,,,,,,,,31.26942,34.73902,
85824,,,,-0.092,-0.037,0.166,0.083855134,-0.074556358,0.947075541,0.013333333,-0.007777778,-0.007777778,,,,,,
85825,,,,-0.067,-0.033,0.106,0.083855134,-0.074556358,0.947075541,0.002222222,0.003333333,-0.001111111,,,,,,
85826,,,,-0.021,-0.05,-0.021,0.083913188,-0.074454181,0.947133595,-0.005555556,0.018888889,0.011111111,,,,,,
85827,,,,-0.023,-0.073,-0.045,0.08374311,-0.073973579,0.947433478,-0.012222222,0.045555556,0.024444444,,,,,,
85828,,,,-0.043,-0.078,-0.053,0.083619957,-0.073380562,0.947789001,-0.012222222,0.063333333,0.025555556,,,,,,
85829,,,,-0.145,-0.174,0.014,0.083567741,-0.072680318,0.947984895,-0.004444444,0.074444444,0.021111111,,,,,,
85830,,,,-0.202,-0.132,0.099,0.083618222,-0.072038021,0.948283318,0.011111111,0.07,0.013333333,,,,,,
85832,,,,-0.251,-0.14,0.112,0.083896375,-0.071495402,0.948296082,0.023333333,0.057777778,-0.002222222,,,,,,
85832,,,,-0.212,-0.064,0.157,0.084280865,-0.071280806,0.948291367,0.036666667,0.023333333,-0.002222222,,,,,,
85833,,,,-0.153,-0.025,0.117,0.084718517,-0.071230219,0.948277881,0.042222222,0.003333333,-0.003333333,,,,,,
85834,,,,-0.117,-0.008,0.078,0.084991738,-0.071232665,0.948268025,0.032222222,0.005555556,0.002222222,,,,,,
85835,0.00041906,0.000920326,10.11550045,,,,,,,,,,,,,,,
85835,,,,,,,,,,,,,,,,31.26941267,34.7390265,
85836,,,,-0.105,-0.034,0.095,0.085211782,-0.071071106,0.948267066,0.024444444,0.016666667,0.003333333,,,,,,
85837,,,,-0.163,-0.031,0.119,0.085483882,-0.070809913,0.948433234,0.02,0.028888889,0.01,,,,,,
85837,,,,-0.192,-0.069,0.07,0.08565078,-0.070484355,0.94844128,0.017777778,0.027777778,0.007777778,,,,,,
85838,,,,-0.187,-0.051,0.017,0.085597625,-0.070320341,0.94845019,0.008888889,0.012222222,0.006666667,,,,,,
85840,,,,-0.092,-0.02,-0.039,0.085597625,-0.070320341,0.94845019,-0.001111111,-0.003333333,0.003333333,,,,,,
85840,,,,-0.075,-0.078,-0.041,0.085433202,-0.070373364,0.948453715,-0.014444444,0.008888889,-0.001111111,,,,,,
85842,,,,-0.116,-0.107,-0.039,0.085320705,-0.070048006,0.948580269,-0.011111111,0.033333333,0.002222222,,,,,,
85843,,,,-0.188,-0.115,0.007,0.085378846,-0.069666957,0.948594525,0.003333333,0.036666667,0.004444444,,,,,,
85843,0.000418207,0.00092096,10.2670002,,,,,,,,,,,,,,,
85843,,,,,,,,,,,,,,,,31.269405,34.73903317,
85843,,,,-0.321,-0.153,0.061,0.085543265,-0.069613947,0.948591056,0.024444444,0.011111111,0.001111111,,,,,,
85844,,,,-0.298,-0.062,0.07,0.085922741,-0.069944473,0.948563592,0.036666667,-0.033333333,0,,,,,,
85846,,,,-0.207,-0.027,0.092,0.08631223,-0.070542062,0.948306734,0.034444444,-0.07,-0.012222222,,,,,,
85846,,,,-0.029,0.045,0.052,0.08641969,-0.07113363,0.948112649,0.014444444,-0.057777778,-0.014444444,,,,,,
85847,,,,-0.02,-0.013,-0.005,0.086479169,-0.071294916,0.947994846,-0.002222222,-0.021111111,-0.013333333,,,,,,
85848,,,,-0.071,-0.047,-0.068,0.086370363,-0.071239451,0.948001133,-0.013333333,0.013333333,0,,,,,,
85849,,,,-0.207,-0.1,-0.114,0.086202092,-0.071022687,0.948125197,-0.01,0.01,0.011111111,,,,,,
85850,,,,-0.203,-0.097,0.01,0.086196083,-0.071304167,0.948277933,0,-0.027777778,0.014444444,,,,,,
85852,,,,-0.168,-0.132,0.142,0.086191196,-0.071849214,0.948254574,0.006666667,-0.055555556,0.01,,,,,,
85852,,,,-0.133,-0.09,0.215,0.08623951,-0.072558246,0.948222202,0.008888889,-0.06,0.004444444,,,,,,
85853,,,,-0.095,-0.129,0.229,0.086187834,-0.072936633,0.948099049,0.005555556,-0.044444444,-0.012222222,,,,,,
85854,0.000417355,0.00092161,10.4364996,,,,,,,,,,,,,,,
85854,,,,,,,,,,,,,,,,31.26939733,34.73904,
85854,,,,-0.099,-0.161,0.163,0.086189164,-0.073200142,0.947922945,0.006666667,-0.026666667,-0.018888889,,,,,,
85856,,,,-0.101,-0.125,0.025,0.086406802,-0.073311048,0.94791016,0.014444444,-0.01,-0.006666667,,,,,,
85857,,,,-0.066,-0.109,-0.048,0.086624441,-0.073421949,0.947897351,0.023333333,-0.01,0,,,,,,
85857,,,,-0.074,-0.124,-0.079,0.086897677,-0.073424321,0.947887193,0.031111111,0.004444444,0.008888889,,,,,,
85858,,,,-0.106,-0.094,-0.121,0.087284807,-0.073216042,0.947938034,0.034444444,0.013333333,0.01,,,,,,
85859,,,,-0.143,-0.085,-0.111,0.087666868,-0.073273868,0.947921474,0.04,0.004444444,-0.002222222,,,,,,
85861,,,,-0.211,-0.122,-0.009,0.088104521,-0.07322316,0.94790764,0.041111111,-0.005555556,-0.012222222,,,,,,
85861,,,,-0.211,-0.073,0.025,0.08854626,-0.073442181,0.947773006,0.045555556,-0.024444444,-0.011111111,,,,,,
85862,,,,-0.167,-0.079,0.076,0.089091767,-0.073982585,0.947564124,0.053333333,-0.046666667,-0.011111111,,,,,,
85863,0.000416466,0.000922275,10.64150047,,,,,,,,,,,,,,,
85863,,,,,,,,,,,,,,,,31.26938933,34.739047,
85863,,,,-0.102,-0.06,0.129,0.089747547,-0.074321621,0.94758053,0.064444444,-0.041111111,0.003333333,,,,,,
85864,,,,-0.096,0,0.09,0.090353855,-0.07448735,0.947441722,0.07,-0.021111111,0.008888889,,,,,,
85865,,,,-0.103,0.028,0.07,0.091002576,-0.074550187,0.947523354,0.063333333,-0.008888889,0.005555556,,,,,,
85866,,,,-0.117,0.055,-0.001,0.091443091,-0.074505945,0.947564894,0.042222222,-0.003333333,0,,,,,,
85867,,,,-0.096,0.021,-0.023,0.091551925,-0.074561359,0.947558288,0.02,-0.007777778,-0.004444444,,,,,,
85868,,,,-0.076,-0.013,-0.049,0.091551925,-0.074561359,0.947558288,0.001111111,0,-0.003333333,,,,,,
85869,,,,-0.061,-0.051,-0.082,0.091551925,-0.074561359,0.947558288,0,0.006666667,0,,,,,,
85870,,,,-0.096,-0.077,-0.038,0.09166306,-0.074344296,0.947564103,0.008888889,0.023333333,0.002222222,,,,,,
85871,,,,-0.142,-0.051,-0.009,0.091720933,-0.073963286,0.947579456,0.012222222,0.033333333,0.005555556,,,,,,
85872,,,,-0.191,-0.06,-0.01,0.091832069,-0.073746223,0.947585322,0.012222222,0.022222222,0.004444444,,,,,,
85874,,,,-0.168,-0.062,0.069,0.091832069,-0.073746223,0.947585322,0.008888889,-0.004444444,0.008888889,,,,,,
85874,0.000415595,0.000922956,10.76449966,,,,,,,,,,,,,,,
85874,,,,,,,,,,,,,,,,31.2693815,34.73905417,
85874,,,,-0.118,-0.082,0.095,0.091987569,-0.073968519,0.947678045,0.012222222,-0.02,0.016666667,,,,,,
85876,,,,-0.082,-0.09,0.087,0.092086145,-0.074036389,0.947944667,0.016666667,-0.008888889,0.018888889,,,,,,
85877,,,,-0.068,-0.068,0.145,0.092355712,-0.074048272,0.94809882,0.028888889,0.006666667,0.016666667,,,,,,
85877,,,,-0.107,-0.01,0.124,0.092792094,-0.073734662,0.948261918,0.037777778,0.036666667,0.015555556,,,,,,
85878,,,,-0.16,-0.011,0.049,0.093070102,-0.073192103,0.948276942,0.033333333,0.047777778,0.008888889,,,,,,
85879,,,,-0.174,0.042,-0.002,0.093283532,-0.073033561,0.94838522,0.021111111,0.022222222,0.011111111,,,,,,
85881,,,,-0.125,0.044,-0.015,0.093332566,-0.072928089,0.94849705,-0.005555556,0.011111111,0.006666667,,,,,,
85881,,,,-0.102,0.004,-0.032,0.092953611,-0.072876739,0.948569326,-0.032222222,0.003333333,0.01,,,,,,
85882,,,,-0.084,-0.06,-0.015,0.09250944,-0.072930322,0.94869176,-0.044444444,0.006666667,0.01,,,,,,
85883,0.000414687,0.000923622,10.9090004,,,,,,,,,,,,,,,
85883,,,,,,,,,,,,,,,,31.26937333,34.73906117,
85883,,,,-0.121,-0.133,0.009,0.092176543,-0.072766858,0.948820165,-0.04,0.013333333,0.013333333,,,,,,
85884,,,,-0.16,-0.176,0.035,0.091843682,-0.072603358,0.948948509,-0.023333333,0.02,0.011111111,,,,,,
85885,,,,-0.177,-0.129,0.096,0.091895786,-0.072504324,0.949115899,-0.005555556,0.011111111,0.013333333,,,,,,
85886,,,,-0.175,-0.085,0.165,0.091895786,-0.072504324,0.949115899,0.001111111,0.003333333,0.005555556,,,,,,
85887,,,,-0.169,-0.071,0.174,0.091895786,-0.072504324,0.949115899,0.001111111,0.003333333,0.006666667,,,,,,
85888,,,,-0.156,-0.076,0.16,0.091895786,-0.072504324,0.949115899,0.003333333,-0.002222222,0.006666667,,,,,,
85890,,,,-0.147,-0.061,0.096,0.091892248,-0.07251378,0.949280327,0.002222222,-0.002222222,0.018888889,,,,,,
85891,,,,-0.117,-0.074,0.03,0.091879229,-0.072519706,0.94949786,0,-0.007777778,0.023333333,,,,,,
85892,,,,-0.091,-0.053,0.027,0.091820009,-0.072637633,0.949659328,-0.001111111,-0.011111111,0.017777778,,,,,,
85892,,,,-0.084,-0.07,0.04,0.091820009,-0.072637633,0.949659328,-0.003333333,-0.003333333,0.008888889,,,,,,
85893,0.000413779,0.000924319,11.06200027,,,,,,,,,,,,,,,
85893,,,,,,,,,,,,,,,,31.26936517,34.7390685,
85893,,,,-0.12,-0.036,0.022,0.091820009,-0.072637633,0.949659328,-0.004444444,0.002222222,0.005555556,,,,,,
85894,,,,-0.152,-0.104,0.025,0.091820009,-0.072637633,0.949659328,-0.001111111,0.003333333,-0.004444444,,,,,,
85896,,,,-0.166,-0.121,0.088,0.09187309,-0.072801637,0.949649846,-0.001111111,-0.01,0.001111111,,,,,,
85897,,,,-0.164,-0.111,0.117,0.091817412,-0.07291011,0.949646888,0.008888889,-0.017777778,0.001111111,,,,,,
85900,,,,-0.063,-0.089,0.004,0.092572553,-0.073580797,0.94975293,0.014444444,0.004444444,0.01,,,,,,
85901,,,,-0.077,-0.087,0.002,0.092733393,-0.073537411,0.949913771,0.016666667,0.012222222,0.016666667,,,,,,
85902,,,,-0.1,-0.083,0.027,0.092946947,-0.073379016,0.950021927,0.024444444,0.016666667,0.015555556,,,,,,
85903,0.000412852,0.000925016,11.24300003,,,,,,,,,,,,,,,
85903,,,,,,,,,,,,,,,,31.26935683,34.73907583,
85905,,,,-0.124,-0.012,0.017,0.093874361,-0.073179618,0.950161954,0.026666667,-0.002222222,-0.002222222,,,,,,
85906,,,,-0.092,-0.001,0.024,0.093989716,-0.073232114,0.950046599,0.013333333,0,-0.01,,,,,,
85907,,,,-0.084,-0.039,0.039,0.094038806,-0.073126713,0.950158413,0,0.01,0,,,,,,
85908,,,,-0.106,-0.087,0.043,0.094041461,-0.072854253,0.950171154,0.001111111,0.024444444,0.008888889,,,,,,
85909,,,,-0.147,-0.133,0.04,0.094040627,-0.072591423,0.950348341,0.008888889,0.033333333,0.02,,,,,,
85910,,,,-0.19,-0.095,0.035,0.094138916,-0.072380688,0.950571982,0.018888889,0.024444444,0.02,,,,,,
85911,,,,-0.165,-0.038,0.033,0.094408618,-0.072393049,0.950726389,0.023333333,0.003333333,0.011111111,,,,,,
85912,,,,-0.123,-0.015,0.026,0.094573069,-0.072340193,0.950722925,0.013333333,-0.002222222,-0.002222222,,,,,,
85913,,,,-0.091,-0.063,0.03,0.094573069,-0.072340193,0.950722925,0.003333333,0,-0.008888889,,,,,,
85913,0.000411925,0.000925729,11.3760004,,,,,,,,,,,,,,,
85913,,,,,,,,,,,,,,,,31.2693485,34.73908333,
85914,,,,-0.107,-0.086,0.001,0.094520075,-0.072176172,0.950732615,0,0.011111111,-0.005555556,,,,,,
85915,,,,-0.141,-0.131,0.003,0.094575803,-0.072067734,0.950735737,0,0.012222222,0.001111111,,,,,,
85916,,,,-0.153,-0.093,0.038,0.094569241,-0.07207085,0.950844454,0.007777778,0,0.01,,,,,,
85917,,,,-0.112,-0.108,0.106,0.094625346,-0.072241425,0.950890499,0.015555556,-0.01,0.01,,,,,,
85918,,,,-0.077,-0.086,0.094,0.094898522,-0.072244172,0.950880474,0.02,-0.007777778,0.004444444,,,,,,
85919,,,,-0.051,-0.081,0.056,0.095171695,-0.072246916,0.950870449,0.023333333,0.006666667,0,,,,,,
85920,,,,-0.086,-0.046,-0.025,0.095332321,-0.071924773,0.950988645,0.02,0.028888889,-0.001111111,,,,,,
85921,,,,-0.134,-0.058,-0.04,0.095499537,-0.071599488,0.950998179,0.015555556,0.04,0.002222222,,,,,,
85922,,,,-0.171,-0.045,-0.007,0.095607658,-0.071392359,0.951169013,0.014444444,0.023333333,0.012222222,,,,,,
85923,,,,-0.194,-0.099,0.055,0.095765553,-0.07134274,0.951274361,0.02,0.001111111,0.015555556,,,,,,
85924,,,,-0.17,-0.091,0.165,0.096088289,-0.071519336,0.951419116,0.023333333,-0.014444444,0.011111111,,,,,,
85924,0.00041098,0.000926441,11.48349953,,,,,,,,,,,,,,,
85924,,,,,,,,,,,,,,,,31.26934,34.73909083,
85925,,,,-0.14,-0.102,0.198,0.096305679,-0.071630569,0.951405954,0.027777778,-0.018888889,-0.004444444,,,,,,
85926,,,,-0.114,-0.085,0.178,0.096638369,-0.071794175,0.951277467,0.031111111,-0.01,-0.014444444,,,,,,
85927,,,,-0.088,-0.043,0.003,0.096914875,-0.071787122,0.951103054,0.03,0.002222222,-0.012222222,,,,,,
85928,,,,-0.095,-0.031,-0.073,0.097138328,-0.071632467,0.951158718,0.023333333,0.013333333,-0.003333333,,,,,,
85929,,,,-0.103,-0.06,-0.098,0.097302775,-0.071579643,0.951155387,0.014444444,0.011111111,0.006666667,,,,,,
85930,,,,-0.12,-0.06,-0.064,0.097296163,-0.071582919,0.951264087,0.008888889,0.008888889,0.015555556,,,,,,
85931,,,,-0.17,-0.149,0.056,0.097457287,-0.071539988,0.951425211,0.014444444,0,0.016666667,,,,,,
85932,,,,-0.17,-0.164,0.118,0.097671352,-0.071661118,0.951576425,0.027777778,-0.01,0.014444444,,,,,,
85933,,,,-0.157,-0.146,0.146,0.09827058,-0.071830804,0.951546538,0.052222222,-0.017777778,0.006666667,,,,,,
85934,,,,-0.102,-0.04,0.088,0.098869799,-0.072000465,0.951516551,0.064444444,-0.012222222,-0.006666667,,,,,,
85934,0.000410035,0.00092717,11.67399979,,,,,,,,,,,,,,,
85934,,,,,,,,,,,,,,,,31.2693315,34.7390985,
85935,,,,-0.083,0.01,0.04,0.099478513,-0.071894295,0.951391246,0.063333333,-0.006666667,-0.02,,,,,,
85936,,,,-0.077,0.049,-0.005,0.099972329,-0.07199819,0.951203417,0.046666667,0,-0.016666667,,,,,,
85937,,,,-0.097,-0.014,-0.07,0.100248886,-0.072007654,0.951249153,0.031111111,0.006666667,-0.008888889,,,,,,
85938,,,,-0.104,0.005,-0.099,0.100462345,-0.071849854,0.951358013,0.017777778,0.01,0.012222222,,,,,,
85939,,,,-0.108,-0.021,-0.089,0.100459078,-0.071859992,0.951522451,0.003333333,0,0.018888889,,,,,,
85940,,,,-0.103,-0.071,-0.004,0.100452362,-0.07186343,0.951631137,0,-0.006666667,0.012222222,,,,,,
85941,,,,-0.128,-0.12,0.1,0.100452362,-0.07186343,0.951631137,0.001111111,0.005555556,0.006666667,,,,,,
85942,,,,-0.156,-0.116,0.094,0.100561046,-0.071919042,0.951624419,0.015555556,0.006666667,-0.003333333,,,,,,
85943,,,,-0.156,-0.144,0.125,0.100893393,-0.071820168,0.951673652,0.032222222,0,-0.006666667,,,,,,
85944,,,,-0.13,-0.001,-0.038,0.101275208,-0.071878608,0.951656934,0.042222222,0.005555556,0,,,,,,
85944,0.000409072,0.000927915,11.78649998,,,,,,,,,,,,,,,
85944,,,,,,,,,,,,,,,,31.26932283,34.73910633,
85945,,,,-0.093,0.027,-0.024,0.101712772,-0.071828636,0.951643708,0.04,-0.002222222,0,,,,,,
85946,,,,-0.071,0.029,0.007,0.101930138,-0.071939855,0.951630197,0.021111111,0.002222222,0,,,,,,
85947,,,,-0.095,0.017,-0.008,0.101877209,-0.071775844,0.951640479,0.003333333,0.014444444,0.003333333,,,,,,
85948,,,,-0.173,-0.086,0.039,0.101877209,-0.071775844,0.951640479,0.001111111,0,0.005555556,,,,,,
85949,,,,-0.172,-0.076,0.093,0.101930138,-0.071939855,0.951630197,0.002222222,-0.022222222,0.004444444,,,,,,
85950,,,,-0.152,-0.088,0.105,0.101871567,-0.072320668,0.951612871,0.007777778,-0.032222222,0,,,,,,
85951,,,,-0.048,-0.007,0.164,0.101868751,-0.072593076,0.951599068,0.002222222,-0.031111111,-0.001111111,,,,,,
85952,,,,-0.039,-0.042,0.111,0.101868751,-0.072593076,0.951599068,-0.002222222,0.001111111,0,,,,,,
85953,,,,-0.084,-0.048,0.045,0.101868297,-0.072330933,0.951777313,-0.004444444,0.03,0.011111111,,,,,,
85954,,,,-0.185,-0.097,-0.01,0.101864371,-0.072062024,0.951899796,0.004444444,0.024444444,0.01,,,,,,
85954,0.000408089,0.000928659,11.96049976,,,,,,,,,,,,,,,
85954,,,,,,,,,,,,,,,,31.269314,34.73911417,
85955,,,,-0.193,-0.059,0.019,0.101857605,-0.072065532,0.952008469,0.005555556,0,0.011111111,,,,,,
85956,,,,-0.161,-0.052,0.037,0.101861515,-0.072334434,0.951885995,0.006666667,-0.028888889,0,,,,,,
85957,,,,-0.108,0.002,0.077,0.101918385,-0.072767361,0.951753208,0,-0.042222222,-0.01,,,,,,
85958,,,,-0.04,-0.036,0.047,0.10181019,-0.072973884,0.951581773,-0.014444444,-0.02,-0.012222222,,,,,,
85959,,,,-0.063,-0.06,0.031,0.101537057,-0.072971081,0.951591912,-0.021111111,0,0,,,,,,
85960,,,,-0.096,-0.111,0.049,0.101484118,-0.072807074,0.951602189,-0.011111111,0.012222222,0.006666667,,,,,,
85961,,,,-0.171,-0.099,0.078,0.101365317,-0.072765166,0.951882117,0.007777778,0.011111111,0.021111111,,,,,,
85962,,,,-0.164,-0.09,0.082,0.101635135,-0.072778268,0.952036458,0.017777778,-0.004444444,0.012222222,,,,,,
85963,,,,-0.126,-0.047,0.076,0.10168804,-0.072942289,0.952026169,0.011111111,-0.018888889,-0.001111111,,,,,,
85964,0.000407089,0.000929404,12.09049988,,,,,,,,,,,,,,,
85964,,,,,,,,,,,,,,,,31.269305,34.739122,
85964,,,,-0.083,-0.004,0.05,0.101744285,-0.073096033,0.951851419,-0.002222222,-0.012222222,-0.014444444,,,,,,
85965,,,,-0.045,-0.068,-0.053,0.101638936,-0.073030153,0.95169379,-0.015555556,0,-0.015555556,,,,,,
85966,,,,-0.063,-0.113,-0.05,0.101421565,-0.072918938,0.951707404,-0.017777778,0.017777778,0,,,,,,
85967,,,,-0.099,-0.144,-0.051,0.101312403,-0.072601149,0.951892374,-0.005555556,0.027777778,0.014444444,,,,,,
85968,,,,-0.153,-0.138,0.027,0.101364874,-0.072502981,0.952060304,0.007777778,0.013333333,0.018888889,,,,,,
85969,,,,-0.146,-0.105,0.077,0.101515774,-0.072457176,0.952274354,0.016666667,0,0.016666667,,,,,,
85970,,,,-0.127,-0.089,0.112,0.101792393,-0.072466845,0.95232007,0.028888889,-0.003333333,0.01,,,,,,
85971,,,,-0.077,-0.002,0.102,0.102065522,-0.072469749,0.952309995,0.03,-0.006666667,0,,,,,,
85972,,,,-0.058,-0.021,0.108,0.102338648,-0.072472651,0.952299919,0.026666667,-0.002222222,-0.007777778,,,,,,
85973,,,,-0.07,-0.015,0.092,0.102558889,-0.072311527,0.952300194,0.021111111,0.013333333,-0.001111111,,,,,,
85974,0.000406088,0.00093018,12.2489996,,,,,,,,,,,,,,,
85974,,,,,,,,,,,,,,,,31.269296,34.73913017,
85974,,,,-0.095,0.027,0.043,0.102716539,-0.072262333,0.952405607,0.011111111,0.016666667,0.004444444,,,,,,
85975,,,,-0.107,0.03,0.062,0.102660437,-0.072108635,0.952580415,0,0.011111111,0.016666667,,,,,,
85976,,,,-0.103,0.009,0.039,0.102548545,-0.07206329,0.952751668,-0.014444444,0.007777778,0.018888889,,,,,,
85977,,,,-0.093,-0.04,0.045,0.102261861,-0.072067378,0.95297899,-0.027777778,0.01,0.018888889,,,,,,
85978,,,,-0.101,-0.108,0.065,0.101827286,-0.071844654,0.953006062,-0.034444444,0.021111111,0.006666667,,,,,,
85979,,,,-0.147,-0.142,0.057,0.101557185,-0.071569234,0.953029809,-0.028888889,0.03,0.001111111,,,,,,
85980,,,,-0.188,-0.111,0.054,0.101395732,-0.071349492,0.953046768,-0.02,0.022222222,0,,,,,,
85981,,,,-0.205,-0.125,0.043,0.10128709,-0.071293802,0.953053482,-0.01,0.003333333,0.005555556,,,,,,
85982,,,,-0.163,-0.092,0.03,0.101333178,-0.07146135,0.953151903,0,-0.016666667,0.017777778,,,,,,
85983,,,,-0.115,-0.097,0.033,0.101320164,-0.071747447,0.953411293,0.01,-0.021111111,0.022222222,,,,,,
85983,0.000405069,0.000930941,12.36450005,,,,,,,,,,,,,,,
85984,,,,,,,,,,,,,,,,31.26928683,34.73913817,
85984,,,,-0.086,-0.042,0.05,0.101534176,-0.07186908,0.953562291,0.011111111,-0.011111111,0.023333333,,,,,,
85985,,,,-0.143,-0.007,0.008,0.101534176,-0.07186908,0.953562291,0,0.006666667,0.005555556,,,,,,
85986,,,,-0.173,-0.005,-0.005,0.101369687,-0.071921714,0.953565546,-0.013333333,-0.004444444,0,,,,,,
85987,,,,-0.169,-0.024,-0.004,0.100984842,-0.072135333,0.953568617,-0.027777778,-0.024444444,0.004444444,,,,,,
85988,,,,-0.068,-0.071,0.01,0.100645999,-0.072516443,0.953670215,-0.037777778,-0.043333333,0.013333333,,,,,,
85989,,,,-0.02,-0.13,0.041,0.100310529,-0.072904254,0.953827816,-0.04,-0.033333333,0.017777778,,,,,,
85990,,,,-0.02,-0.109,0.042,0.10002724,-0.072914641,0.954111105,-0.028888889,-0.005555556,0.021111111,,,,,,
85991,,,,-0.063,-0.101,0.05,0.099809988,-0.072803146,0.954124624,-0.022222222,0.01,0.01,,,,,,
85992,,,,-0.148,-0.098,-0.033,0.099592737,-0.072691647,0.95413812,-0.016666667,0.011111111,0.004444444,,,,,,
85993,,,,-0.14,-0.082,-0.018,0.099372312,-0.072852574,0.954138142,-0.016666667,-0.01,0.008888889,,,,,,
85994,0.00040405,0.000931733,12.50199986,,,,,,,,,,,,,,,
85994,,,,,,,,,,,,,,,,31.26927767,34.7391465,
85994,,,,-0.089,-0.081,0.006,0.09925376,-0.073072584,0.954240075,-0.014444444,-0.023333333,0.01,,,,,,
85995,,,,-0.04,-0.099,0.062,0.099085809,-0.073135216,0.954408027,-0.012222222,-0.012222222,0.016666667,,,,,,
85996,,,,-0.074,-0.082,0.078,0.099072304,-0.073141853,0.95462526,-0.007777778,0.011111111,0.022222222,,,,,,
85997,,,,-0.133,-0.062,0.073,0.099065401,-0.072882806,0.954911806,-0.006666667,0.027777778,0.021111111,,,,,,
85998,,,,-0.208,-0.081,0.004,0.099009345,-0.072728736,0.955086417,-0.007777778,0.012222222,0.017777778,,,,,,
85999,,,,-0.17,-0.053,0.04,0.098894026,-0.07295539,0.955244319,-0.01,-0.02,0.018888889,,,,,,
86000,,,,-0.113,-0.047,0.068,0.098775356,-0.073175308,0.955346288,-0.017777778,-0.023333333,0.01,,,,,,
86001,,,,-0.079,-0.086,0.056,0.098548079,-0.07333938,0.955455032,-0.022222222,-0.013333333,0.01,,,,,,
86002,,,,-0.122,-0.08,-0.014,0.098274927,-0.073336036,0.955465242,-0.022222222,0.002222222,0.008888889,,,,,,
86003,,,,-0.165,-0.093,-0.057,0.098001771,-0.073332689,0.955475451,-0.025555556,0.001111111,0.008888889,,,,,,
86004,0.000403012,0.000932525,12.6590004,,,,,,,,,,,,,,,
86004,,,,,,,,,,,,,,,,31.26926833,34.73915483,
86004,,,,-0.195,-0.12,-0.071,0.097725252,-0.073601765,0.955472443,-0.024444444,-0.021111111,0.014444444,,,,,,
86005,,,,-0.13,-0.135,0.076,0.0976064,-0.074100743,0.955617357,-0.016666667,-0.05,0.015555556,,,,,,
86006,,,,-0.077,-0.131,0.131,0.097596064,-0.074655562,0.955755549,-0.005555556,-0.051111111,0.013333333,,,,,,
86007,,,,-0.073,-0.151,0.098,0.097641863,-0.074822884,0.955854145,0.006666667,-0.023333333,0.014444444,,,,,,
86008,,,,-0.091,-0.09,0.062,0.097746844,-0.07488871,0.95601193,0.017777778,-0.007777778,0.016666667,,,,,,
86009,,,,-0.141,-0.051,-0.038,0.097901021,-0.074849472,0.956281508,0.02,-0.005555556,0.018888889,,,,,,
86010,,,,-0.135,-0.011,-0.046,0.098111101,-0.075243638,0.956419207,0.015555556,-0.027777778,0.021111111,,,,,,
86011,,,,-0.098,-0.019,-0.017,0.098044738,-0.075627519,0.95651133,0.001111111,-0.046666667,0.012222222,,,,,,
86012,,,,-0.036,-0.008,0.019,0.098146145,-0.075965843,0.956655814,-0.007777778,-0.034444444,0.012222222,,,,,,
86013,,,,-0.053,-0.077,0.009,0.09786944,-0.076234766,0.956653165,-0.023333333,-0.021111111,0.004444444,,,,,,
86014,,,,-0.079,-0.089,0.02,0.097599961,-0.076221267,0.956499157,-0.03,-0.008888889,0.008888889,,,,,,
86014,0.000401974,0.000933317,12.78499985,,,,,,,,,,,,,,,
86014,,,,,,,,,,,,,,,,31.269259,34.73916317,
86015,,,,-0.125,-0.172,0.028,0.09721817,-0.076161922,0.95651664,-0.028888889,-0.003333333,0.007777778,,,,,,
86016,,,,-0.11,-0.158,0.073,0.097095464,-0.076391547,0.956783594,-0.018888889,-0.014444444,0.016666667,,,,,,
86017,,,,-0.084,-0.173,0.097,0.097035644,-0.076509779,0.956945113,0,-0.016666667,0.017777778,,,,,,
86018,,,,-0.064,-0.152,0.084,0.097130444,-0.076571892,0.957155373,0.014444444,0.001111111,0.023333333,,,,,,
86019,,,,-0.079,-0.085,-0.035,0.097347392,-0.076421289,0.957319371,0.024444444,0.02,0.016666667,,,,,,
86020,,,,-0.105,-0.028,-0.06,0.09762046,-0.076162469,0.957486558,0.021111111,0.025555556,0.015555556,,,,,,
86021,,,,-0.13,-0.008,-0.053,0.097725762,-0.075949136,0.957601431,0.011111111,0.015555556,0.012222222,,,,,,
86022,,,,-0.156,-0.037,0.031,0.097665951,-0.076067381,0.957762919,0,0,0.016666667,,,,,,
